Account Number,Date,Amount (£),,,,,,,,,
RWC8,23/09/2024,12,,,,,,,,,
RWC8,22/10/2024,12,,,,,,,,,
RWC8,19/11/2024,12,,,,,,,,,
RWC8,10/12/2024,12,,,,,,,,,
RWC8,16/01/2025,12,,,,,,,,,
RWC8,10/02/2025,12,,,,,,,,,
RWC8,10/03/2025,12,,,,,,,,,
RWC8,07/04/2025,£12,,,,,,,,,
RWC8,06/05/2025,£12,,,,,,,,,
RWC8,02/06/2025,£12,,,,,,,,,
RWC8,02/07/2025,£12,,,,,,,,,
RWC88,05/08/2024,12,,,,,,,,,
RWC88,04/09/2024,12,,,,,,,,,
RWC88,04/10/2024,12,,,,,,,,,
RWC88,30/10/2024,12,,,,,,,,,
RWC88,27/11/2024,12,,,,,,,,,
RWC88,17/12/2024,12,,,,,,,,,
RWC88,20/01/2025,12,,,,,,,,,
RWC88,17/02/2025,12,,,,,,,,,
RWC88,17/03/2025,12,,,,,,,,,
RWC88,14/04/2025,£12,,,,,,,,,
RWC88,12/05/2025,£12,,,,,,,,,
RWC88,09/06/2025,£12,,,,,,,,,
RWC88,07/07/2025,£12,,,,,,,,,
RWC94,15/08/2024,12,,,,,,,,,
RWC94,13/09/2024,12,,,,,,,,,
RWC94,11/10/2024,12,,,,,,,,,
RWC94,07/11/2024,12,,,,,,,,,
RWC94,03/12/2024,12,,,,,,,,,
RWC94,03/01/2025,12,,,,,,,,,
RWC94,29/01/2025,12,,,,,,,,,
RWC94,27/02/2025,12,,,,,,,,,
RWC94,26/03/2025,£12,,,,,,,,,
RWC94,24/04/2025,£12,,,,,,,,,
RWC94,22/05/2025,£12,,,,,,,,,
RWC94,18/06/2025,£12,,,,,,,,,
RWC34,24/10/2024,12.5,,,,,,,,,
RWC34,12/02/2025,12.5,,,,,,,,,
RWC347,13/11/2024,12.5,,,,,,,,,
RWC458,17/03/2025,12.5,,,,,,,,,
RWC471,15/05/2025,£13,,,,,,,,,
RWC340,19/09/2024,15,,,,,,,,,
RWC340,17/10/2024,15,,,,,,,,,
RWC340,13/11/2024,15,,,,,,,,,
RWC340,09/12/2024,15,,,,,,,,,
RWC340,05/02/2025,15,,,,,,,,,
RWC340,03/03/2025,15,,,,,,,,,
RWC340,02/04/2025,£15,,,,,,,,,
RWC348,29/04/2025,£15,,,,,,,,,
RWC348,28/05/2025,£15,,,,,,,,,
RWC348,30/06/2025,£15,,,,,,,,,
RWC35,16/04/2025,£15,,,,,,,,,
RWC35,13/05/2025,£15,,,,,,,,,
RWC35,10/06/2025,£15,,,,,,,,,
RWC35,08/07/2025,£15,,,,,,,,,
RWC353,08/08/2024,15,,,,,,,,,
RWC353,06/09/2024,15,,,,,,,,,
RWC353,03/10/2024,15,,,,,,,,,
RWC353,01/11/2024,15,,,,,,,,,
RWC353,28/11/2024,15,,,,,,,,,
RWC353,20/12/2024,15,,,,,,,,,
RWC353,23/01/2025,15,,,,,,,,,
RWC353,19/02/2025,15,,,,,,,,,
RWC353,19/03/2025,15,,,,,,,,,
RWC353,17/04/2025,£15,,,,,,,,,
RWC353,14/05/2025,£15,,,,,,,,,
RWC353,10/06/2025,£15,,,,,,,,,
RWC353,10/07/2025,£15,,,,,,,,,
RWC354,08/08/2024,15,,,,,,,,,
RWC354,06/09/2024,15,,,,,,,,,
RWC354,03/10/2024,15,,,,,,,,,
RWC354,01/11/2024,15,,,,,,,,,
RWC354,28/11/2024,15,,,,,,,,,
RWC354,20/12/2024,15,,,,,,,,,
RWC354,23/01/2025,15,,,,,,,,,
RWC354,19/02/2025,15,,,,,,,,,
RWC354,19/03/2025,15,,,,,,,,,
RWC360,13/08/2024,15,,,,,,,,,
RWC360,09/09/2024,15,,,,,,,,,
RWC360,09/10/2024,15,,,,,,,,,
RWC360,08/11/2024,15,,,,,,,,,
RWC360,02/12/2024,15,,,,,,,,,
RWC360,31/12/2024,15,,,,,,,,,
RWC360,28/01/2025,15,,,,,,,,,
RWC360,25/02/2025,15,,,,,,,,,
RWC360,24/03/2025,£15,,,,,,,,,
RWC362,06/08/2024,15,,,,,,,,,
RWC362,04/09/2024,15,,,,,,,,,
RWC362,04/10/2024,15,,,,,,,,,
RWC362,30/10/2024,15,,,,,,,,,
RWC362,27/11/2024,15,,,,,,,,,
RWC362,17/12/2024,15,,,,,,,,,
RWC362,21/01/2025,15,,,,,,,,,
RWC362,17/02/2025,15,,,,,,,,,
RWC362,17/03/2025,15,,,,,,,,,
RWC367,22/04/2025,£15,,,,,,,,,
RWC367,19/05/2025,£15,,,,,,,,,
RWC367,16/06/2025,£15,,,,,,,,,
RWC369,26/08/2024,15,,,,,,,,,
RWC369,23/09/2024,15,,,,,,,,,
RWC369,22/10/2024,15,,,,,,,,,
RWC369,18/11/2024,15,,,,,,,,,
RWC369,10/12/2024,15,,,,,,,,,
RWC369,16/01/2025,15,,,,,,,,,
RWC369,10/02/2025,15,,,,,,,,,
RWC369,10/03/2025,15,,,,,,,,,
RWC369,07/04/2025,£15,,,,,,,,,
RWC369,06/05/2025,£15,,,,,,,,,
RWC369,02/06/2025,£15,,,,,,,,,
RWC369,30/06/2025,£15,,,,,,,,,
RWC370,13/08/2024,15,,,,,,,,,
RWC370,09/09/2024,15,,,,,,,,,
RWC370,09/10/2024,15,,,,,,,,,
RWC370,08/11/2024,15,,,,,,,,,
RWC370,03/12/2024,15,,,,,,,,,
RWC370,31/12/2024,15,,,,,,,,,
RWC370,28/01/2025,15,,,,,,,,,
RWC370,25/02/2025,15,,,,,,,,,
RWC370,24/03/2025,£15,,,,,,,,,
RWC370,22/04/2025,£15,,,,,,,,,
RWC370,19/05/2025,£15,,,,,,,,,
RWC370,16/06/2025,£15,,,,,,,,,
RWC373,17/06/2025,£15,,,,,,,,,
RWC38,07/08/2024,15,,,,,,,,,
RWC38,05/09/2024,15,,,,,,,,,
RWC38,01/10/2024,15,,,,,,,,,
RWC38,31/10/2024,15,,,,,,,,,
RWC38,28/11/2024,15,,,,,,,,,
RWC38,18/12/2024,15,,,,,,,,,
RWC38,21/01/2025,15,,,,,,,,,
RWC38,18/02/2025,15,,,,,,,,,
RWC38,18/03/2025,15,,,,,,,,,
RWC38,15/04/2025,£15,,,,,,,,,
RWC38,13/05/2025,£15,,,,,,,,,
RWC38,10/06/2025,£15,,,,,,,,,
RWC38,08/07/2025,£15,,,,,,,,,
RWC380,01/08/2024,15,,,,,,,,,
RWC380,30/08/2024,15,,,,,,,,,
RWC380,25/09/2024,15,,,,,,,,,
RWC380,24/10/2024,15,,,,,,,,,
RWC380,26/11/2024,15,,,,,,,,,
